TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
STAT1	APOL2	0.9982	50.2	0.197	rgb(219,179,180)	1.9947	2,2
STAT1	PARP14	0.9982	50.2	0.203	rgb(219,178,179)	1.9947	None
ZFHX4	ARHGAP18	0.9982	50.27	0.269	rgb(220,166,166)	1.9962	None
ATF3	DNAJB1	0.99805	50.19	0.192	rgb(219,180,181)	1.9945	2,2
IRF1	CCL2	0.99805	50.19	0.194	rgb(219,180,180)	1.9945	None
STAT1	WARS	0.99805	50.19	0.188	rgb(219,181,181)	1.9945	2,2
EGR1	ZFP36	0.99755	50.18	0.176	rgb(219,183,184)	1.9943	None
IRF1	PSMB8	0.99755	50.18	0.18	rgb(219,183,183)	1.9943	None
KLF4	ENSMMUG00000012608	0.99755	50.18	0.178	rgb(219,183,183)	1.9943	2,2
KLF4	TSPAN12	0.99755	50.18	0.179	rgb(219,183,183)	1.9943	None
LIN28B	GATA2	0.99755	50.26	0.264	rgb(220,167,167)	1.996	None
LIN28B	SKIL	0.99755	50.26	0.263	rgb(220,167,167)	1.996	None
MESP1	ID3	0.99755	50.26	0.263	rgb(220,167,167)	1.996	None
RFX8	TLE4	0.99755	50.26	0.255	rgb(220,168,169)	1.996	None
ZBTB20	CLU	0.99755	50.26	0.264	rgb(220,167,167)	1.996	None
ZBTB49	CSGALNACT1	0.99755	50.26	0.255	rgb(220,168,169)	1.996	None
DPF1	LIMS2	0.9973	50.25	0.233	rgb(220,173,173)	1.9958	None
DPF3	LIMS2	0.9973	50.25	0.233	rgb(220,173,173)	1.9958	None
IRF9	MX1	0.9973	50.25	0.247	rgb(220,170,170)	1.9958	None
TIGD6	STC2	0.9973	50.25	0.249	rgb(220,170,170)	1.9958	None
ZBTB45	LIMS2	0.9973	50.25	0.233	rgb(220,173,173)	1.9958	None
HIF1A	CCL2	0.99675	50.17	0.167	rgb(219,185,185)	1.9941	2,2
IRF1	IDO1	0.99675	50.17	0.165	rgb(219,185,186)	1.9941	None
IRF1	IFI30	0.99675	50.17	0.168	rgb(219,185,185)	1.9941	None
IRF1	LAP3	0.99675	50.17	0.172	rgb(219,184,185)	1.9941	None
IRF1	WARS	0.99675	50.17	0.166	rgb(219,185,186)	1.9941	2,2
KLF4	ITM2A	0.99675	50.17	0.17	rgb(219,184,185)	1.9941	None
KLF4	S100A6	0.99675	50.17	0.168	rgb(219,185,185)	1.9941	None
STAT1	ENSMMUG00000013257	0.99675	50.17	0.166	rgb(219,185,186)	1.9941	2,2
STAT1	IDO1	0.99675	50.17	0.174	rgb(219,184,184)	1.9941	None
STAT1	MX1	0.99675	50.17	0.166	rgb(219,185,186)	1.9941	None
STAT1	PLA2G4C	0.99675	50.17	0.169	rgb(219,185,185)	1.9941	2,2
KMT2A	NCKAP5	0.99645	50.24	0.239	rgb(220,171,172)	1.9956	None
MESP1	MCF2L	0.99645	50.24	0.237	rgb(220,172,172)	1.9956	None
ZFP92	VWF	0.99645	50.24	0.243	rgb(220,170,171)	1.9956	None
ZNF416	ETS2	0.99645	50.24	0.235	rgb(220,172,172)	1.9956	None
ZNF540	FLNB	0.99645	50.24	0.244	rgb(220,170,171)	1.9956	None
ZNF81	NUDT4	0.99645	50.24	0.237	rgb(220,172,172)	1.9956	None
BATF2	GBP2	0.99575	50.16	0.155	rgb(219,187,188)	1.9939	2,2
HIF1A	ACKR1	0.99575	50.16	0.158	rgb(219,187,187)	1.9939	2,2
HIF1A	RND1	0.99575	50.16	0.156	rgb(219,187,188)	1.9939	None
IRF1	PSMB9	0.99575	50.16	0.156	rgb(219,187,187)	1.9939	None
IRF1	RND1	0.99575	50.16	0.158	rgb(219,187,187)	1.9939	None
KLF4	HPGD	0.99575	50.16	0.16	rgb(219,186,187)	1.9939	None
KLF4	NOVA1	0.99575	50.16	0.156	rgb(219,187,188)	1.9939	None
KLF4	SLC9A3R2	0.99575	50.16	0.161	rgb(219,186,187)	1.9939	None
KLF4	TLE4	0.99575	50.16	0.16	rgb(219,187,187)	1.9939	None
STAT1	B2M	0.99575	50.16	0.163	rgb(219,186,186)	1.9939	None
STAT1	GBP2	0.99575	50.16	0.159	rgb(219,187,187)	1.9939	2,2
STAT1	IFI27	0.99575	50.16	0.161	rgb(219,186,187)	1.9939	None
STAT1	IFIT3	0.99575	50.16	0.16	rgb(219,186,187)	1.9939	None
STAT1	RNF213	0.99575	50.16	0.156	rgb(219,187,187)	1.9939	None
DPF1	ADCY4	0.995	50.23	0.233	rgb(220,173,173)	1.9953	None
DPF3	ADCY4	0.995	50.23	0.233	rgb(220,173,173)	1.9953	None
HOMEZ	NEDD9	0.995	50.23	0.235	rgb(220,172,173)	1.9953	None
MTERF1	ZFP36L1	0.995	50.23	0.234	rgb(220,172,173)	1.9953	None
PHF1	EGFLAM	0.995	50.23	0.226	rgb(219,174,174)	1.9953	None
ZBTB20	SDCBP	0.995	50.23	0.228	rgb(220,173,174)	1.9953	None
ZBTB22	FILIP1	0.995	50.23	0.231	rgb(220,173,173)	1.9953	None
ZBTB45	ADCY4	0.995	50.23	0.233	rgb(220,173,173)	1.9953	None
ZFP92	FAM171A1	0.995	50.23	0.227	rgb(219,174,174)	1.9953	None
ZNF177	DLL4	0.995	50.23	0.228	rgb(220,174,174)	1.9953	None
ZNF177	GIMAP4	0.995	50.23	0.232	rgb(220,173,173)	1.9953	None
ZNF423	RPS27A	0.995	50.23	0.234	rgb(220,172,173)	1.9953	None
ZNF423	VIM	0.995	50.23	0.231	rgb(220,173,173)	1.9953	None
ZNF540	RGS3	0.995	50.23	0.228	rgb(220,173,174)	1.9953	None
ZNF737	ZFP36L1	0.995	50.23	0.228	rgb(220,173,174)	1.9953	None
ATF3	CCNL1	0.9942	50.15	0.149	rgb(219,189,189)	1.9937	2,2
IRF1	CXCL2	0.9942	50.15	0.149	rgb(219,189,189)	1.9937	2,2
IRF1	ENSMMUG00000013257	0.9942	50.15	0.148	rgb(219,189,189)	1.9937	2,2
IRF1	ENSMMUG00000023712	-0.9942	50.15	-1.5E-01	rgb(185,198,223)	1.9937	2,2
IRF1	ENSMMUG00000041662	0.9942	50.15	0.15	rgb(219,188,189)	1.9937	2,2
IRF1	ENSMMUG00000044002	0.9942	50.15	0.147	rgb(219,189,189)	1.9937	2,2
IRF1	IFI27	0.9942	50.15	0.154	rgb(219,188,188)	1.9937	None
IRF1	STAT1	0.9942	50.15	0.145	rgb(219,189,190)	1.9937	None
IRF1	ZFP36	0.9942	50.15	0.152	rgb(219,188,188)	1.9937	None
KLF4	ENSMMUG00000030144	0.9942	50.15	0.152	rgb(219,188,188)	1.9937	2,2
KLF4	MYLIP	0.9942	50.15	0.147	rgb(219,189,189)	1.9937	None
NFIB	EDNRB	-0.9942	50.15	-1.5E-01	rgb(185,198,223)	1.9937	None
STAT1	PSMB9	0.9942	50.15	0.145	rgb(219,189,190)	1.9937	None
STAT1	SAMD9L	0.9942	50.15	0.145	rgb(219,189,190)	1.9937	None
STAT1	SERPING1	0.9942	50.15	0.155	rgb(219,187,188)	1.9937	None
YBX3	ACKR1	0.9942	50.15	0.152	rgb(219,188,188)	1.9937	2,2
CARF	STXBP1	0.99355	50.22	0.218	rgb(219,175,176)	1.9951	None
HOMEZ	EGLN3	0.99355	50.22	0.224	rgb(219,174,175)	1.9951	None
IKZF5	RPS27A	0.99355	50.22	0.22	rgb(219,175,175)	1.9951	None
MTERF1	IRF1	0.99355	50.22	0.217	rgb(219,176,176)	1.9951	None
PHF1	ACTG1	0.99355	50.22	0.22	rgb(219,175,175)	1.9951	None
POU2AF1	ITGA6	0.99355	50.22	0.22	rgb(219,175,175)	1.9951	None
POU2AF1	S100A9	0.99355	50.22	0.219	rgb(219,175,176)	1.9951	None
ZBTB44	NEDD9	0.99355	50.22	0.222	rgb(219,175,175)	1.9951	None
ZBTB48	ETS1	0.99355	50.22	0.22	rgb(219,175,175)	1.9951	None
ZNF154	TLE4	0.99355	50.22	0.217	rgb(219,176,176)	1.9951	None
ZNF174	SOD2	0.99355	50.22	0.219	rgb(219,175,176)	1.9951	None
ZNF423	RNF213	0.99355	50.22	0.215	rgb(219,176,176)	1.9951	None
ZZZ3	NCKAP5	0.99355	50.22	0.216	rgb(219,176,176)	1.9951	None
IKZF5	RPL7A	0.993	50.21	0.206	rgb(219,178,178)	1.9949	None
IRF9	ENSMMUG00000001819	0.993	50.21	0.207	rgb(219,178,178)	1.9949	2,2
IRF9	PARP14	0.993	50.21	0.21	rgb(219,177,177)	1.9949	None
TIGD6	NFKB1	0.993	50.21	0.213	rgb(219,176,177)	1.9949	None
ZBTB44	ZFP36L2	0.993	50.21	0.213	rgb(219,176,177)	1.9949	None
ZBTB49	ZNF503	0.993	50.21	0.21	rgb(219,177,177)	1.9949	None
ZFHX4	CRMP1	0.993	50.21	0.214	rgb(219,176,177)	1.9949	None
ZFHX4	FOXO3	0.993	50.21	0.207	rgb(219,177,178)	1.9949	None
ZNF174	CALR	0.993	50.21	0.207	rgb(219,178,178)	1.9949	None
ZNF177	NEDD9	0.993	50.21	0.214	rgb(219,176,176)	1.9949	None
ZNF653	NEDD4L	0.993	50.21	0.211	rgb(219,177,177)	1.9949	None
ATF3	BTG2	0.9917	50.14	0.144	rgb(219,190,190)	1.9935	2,2
ATF3	ENSMMUG00000030920	0.9917	50.14	0.139	rgb(219,190,191)	1.9935	2,2
ATF3	IRF1	0.9917	50.14	0.143	rgb(219,190,190)	1.9935	2,2
ATF3	RND1	0.9917	50.14	0.145	rgb(219,189,190)	1.9935	2,2
EGR1	DNAJB1	0.9917	50.15	0.148	rgb(219,189,189)	1.9937	None
EGR1	ENSMMUG00000041411	0.9917	50.15	0.151	rgb(219,188,189)	1.9937	2,2
EGR1	GADD45B	0.9917	50.14	0.137	rgb(219,191,191)	1.9935	None
HIC1	ANKRD37	0.9917	50.14	0.136	rgb(218,191,191)	1.9935	2,2
IRF1	ATF3	0.9917	50.14	0.138	rgb(219,191,191)	1.9935	None
IRF1	ENSMMUG00000019251	0.9917	50.14	0.14	rgb(219,190,190)	1.9935	2,2
IRF1	PARP14	0.9917	50.14	0.141	rgb(219,190,190)	1.9935	None
IRF1	PLA2G4C	0.9917	50.14	0.233	rgb(220,173,173)	1.9935	None
IRF1	PSME2	0.9917	50.14	0.143	rgb(219,190,190)	1.9935	2,2
IRF1	SERPING1	0.9917	50.14	0.144	rgb(219,190,190)	1.9935	2,2
IRF1	SOD2	0.9917	50.14	0.136	rgb(218,191,191)	1.9935	2,2
IRF7	ENSMMUG00000001819	0.9917	50.15	0.152	rgb(219,188,188)	1.9937	2,2
KLF4	ENSMMUG00000009859	0.9917	50.14	0.145	rgb(219,189,190)	1.9935	2,2
NFIB	NOSTRIN	0.9917	50.14	0.141	rgb(219,190,190)	1.9935	None
NFIB	VWF	0.9917	50.14	0.144	rgb(219,190,190)	1.9935	None
STAT1	CLU	0.9917	50.14	0.136	rgb(218,191,191)	1.9935	2,2
STAT1	ENSMMUG00000001819	0.9917	50.14	0.138	rgb(219,191,191)	1.9935	2,2
STAT1	IFI30	0.9917	50.14	0.139	rgb(219,191,191)	1.9935	2,2
STAT1	IRF1	0.9917	50.14	0.139	rgb(219,190,191)	1.9935	None
TBX3	ITM2A	0.9917	50.14	0.137	rgb(219,191,191)	1.9935	2,2
TBX3	KDR	0.9917	50.14	0.138	rgb(219,191,191)	1.9935	2,2
YBX3	CCL2	0.9917	50.14	0.137	rgb(219,191,191)	1.9935	2,2
ATOH7	KDR	0.99025	50.2	0.203	rgb(219,178,179)	1.9947	None
ETS1	APOD	0.99025	50.2	0.233	rgb(220,173,173)	1.9947	2,2
ETS2	APOD	0.99025	50.2	0.233	rgb(220,173,173)	1.9947	2,2
ETV1	APOD	0.99025	50.2	0.233	rgb(220,173,173)	1.9947	2,2
ETV3	APOD	0.99025	50.2	0.233	rgb(220,173,173)	1.9947	2,2
FLI1	APOD	0.99025	50.2	0.233	rgb(220,173,173)	1.9947	2,2
HES6	ABCA1	0.99025	50.2	0.197	rgb(219,179,180)	1.9947	None
HES6	CORO1C	0.99025	50.2	0.205	rgb(219,178,178)	1.9947	None
HOMEZ	CCNL1	0.99025	50.2	0.202	rgb(219,178,179)	1.9947	None
HOMEZ	ZNF503	0.99025	50.2	0.199	rgb(219,179,179)	1.9947	None
IRF9	IFI27	0.99025	50.2	0.195	rgb(219,180,180)	1.9947	None
TBX6	IFIT1	0.99025	50.2	0.196	rgb(219,179,180)	1.9947	None
TIGD6	MAST4	0.99025	50.2	0.198	rgb(219,179,179)	1.9947	None
ZBTB1	CD9	0.99025	50.2	0.198	rgb(219,179,180)	1.9947	None
ZBTB1	IGF2	0.99025	50.2	0.204	rgb(219,178,178)	1.9947	None
ZBTB1	PSME1	0.99025	50.2	0.198	rgb(219,179,180)	1.9947	None
ZBTB20	FAM171A1	0.99025	50.2	0.203	rgb(219,178,179)	1.9947	None
ZBTB44	LDB2	0.99025	50.2	0.204	rgb(219,178,178)	1.9947	None
ZBTB49	PRICKLE1	0.99025	50.2	0.201	rgb(219,179,179)	1.9947	None
ZNF174	ZBTB16	0.99025	50.2	0.203	rgb(219,178,179)	1.9947	None
ZNF19	SLC9A3R2	0.99025	50.2	0.202	rgb(219,178,179)	1.9947	None
ZNF337	ID1	0.99025	50.2	0.197	rgb(219,179,180)	1.9947	None
ZNF337	SERPING1	0.99025	50.2	0.205	rgb(219,178,178)	1.9947	None
ZNF345	DISP1	0.99025	50.2	0.202	rgb(219,178,179)	1.9947	None
ZNF423	ZFP36L1	0.99025	50.2	0.2	rgb(219,179,179)	1.9947	None
ZNF433	FLNB	0.99025	50.2	0.195	rgb(219,180,180)	1.9947	None
ZNF445	S100A6	0.99025	50.2	0.198	rgb(219,179,180)	1.9947	None
ZNF771	RRBP1	0.99025	50.2	0.204	rgb(219,178,178)	1.9947	None
ZZZ3	NOSTRIN	0.99025	50.2	0.196	rgb(219,180,180)	1.9947	None
ATF3	CDKN1A	0.98885	50.13	0.131	rgb(218,192,192)	1.9933	2,2
ATF3	ENSMMUG00000032072	0.98885	50.13	0.132	rgb(218,192,192)	1.9933	2,2
ATF3	NFKBIZ	0.98885	50.13	0.131	rgb(218,192,192)	1.9933	2,2
ATF3	PPP1R15A	0.98885	50.13	0.13	rgb(218,192,192)	1.9933	None
BATF2	C2CD4B	0.98885	50.13	0.128	rgb(218,193,193)	1.9933	2,2
BATF3	IDO1	0.98885	50.13	0.13	rgb(218,192,192)	1.9933	2,2
BATF3	RARRES3	0.98885	50.13	0.127	rgb(218,193,193)	1.9933	2,2
HES1	C10orf10	0.98885	50.13	0.134	rgb(218,191,192)	1.9933	2,2
HIF1A	CXCL2	0.98885	50.13	0.135	rgb(218,191,192)	1.9933	2,2
IRF1	CSF1	0.98885	50.13	0.126	rgb(218,193,193)	1.9933	None
IRF1	CXCL1	0.98885	50.13	0.128	rgb(218,192,193)	1.9933	2,2
IRF1	MAMU-B	0.98885	50.13	0.13	rgb(218,192,192)	1.9933	2,2
IRF1	TXNIP	0.98885	50.13	0.13	rgb(218,192,192)	1.9933	None
IRF7	IFI27	0.98885	50.18	0.175	rgb(219,183,184)	1.9943	None
KLF4	AQP1	0.98885	50.13	0.132	rgb(218,192,192)	1.9933	2,2
KLF4	TPPP3	0.98885	50.13	0.13	rgb(218,192,192)	1.9933	None
NFIB	PREX2	0.98885	50.13	0.127	rgb(218,193,193)	1.9933	None
STAT1	DRA	0.98885	50.13	0.127	rgb(218,193,193)	1.9933	2,2
STAT1	OAS2	0.98885	50.13	0.125	rgb(218,193,193)	1.9933	None
STAT1	PSMB8	0.98885	50.13	0.133	rgb(218,192,192)	1.9933	None
STAT1	PSME2	0.98885	50.13	0.126	rgb(218,193,193)	1.9933	2,2
STAT1	SAMHD1	0.98885	50.13	0.126	rgb(218,193,193)	1.9933	None
STAT1	SECTM1	0.98885	50.13	0.133	rgb(218,192,192)	1.9933	2,2
TBX3	ENSMMUG00000009859	0.98885	50.13	0.133	rgb(218,192,192)	1.9933	2,2
TBX3	HOPX	0.98885	50.13	0.132	rgb(218,192,192)	1.9933	2,2
TBX3	TSPAN12	0.98885	50.13	0.126	rgb(218,193,193)	1.9933	2,2
YBX3	TNFRSF6B	0.98885	50.13	0.126	rgb(218,193,193)	1.9933	2,2
ZFY	RPS4Y1	0.98885	50.13	0.128	rgb(218,193,193)	1.9933	2,2
CARF	PRKCE	0.98735	50.19	0.189	rgb(219,181,181)	1.9945	None
E4F1	MARCKS	0.98735	50.19	0.185	rgb(219,182,182)	1.9945	None
IRF7	PLA2G4C	0.98735	50.19	0.193	rgb(219,180,181)	1.9945	None
IRF9	APOL2	0.98735	50.19	0.194	rgb(219,180,180)	1.9945	None
IRF9	STAT1	0.98735	50.19	0.187	rgb(219,181,182)	1.9945	None
LIN28B	ETV3	0.98735	50.19	0.187	rgb(219,181,182)	1.9945	None
MESP2	AK1	0.98735	50.19	0.188	rgb(219,181,181)	1.9945	None
MTERF1	PRKCH	0.98735	50.19	0.19	rgb(219,181,181)	1.9945	None
NEUROG1	PTPRG	0.98735	50.19	0.189	rgb(219,181,181)	1.9945	None
PRDM14	FSCN1	0.98735	50.19	0.188	rgb(219,181,181)	1.9945	None
SKOR2	HSPB8	0.98735	50.19	0.186	rgb(219,181,182)	1.9945	None
SKOR2	RAI14	0.98735	50.19	0.188	rgb(219,181,181)	1.9945	None
TIGD6	PKP4	0.98735	50.19	0.189	rgb(219,181,181)	1.9945	None
ZBTB20	NR2F2	0.98735	50.19	0.19	rgb(219,181,181)	1.9945	None
ZBTB48	EGR1	0.98735	50.19	0.195	rgb(219,180,180)	1.9945	None
ZFHX4	LTBP1	0.98735	50.19	0.193	rgb(219,180,180)	1.9945	None
ZNF101	ID3	0.98735	50.19	0.19	rgb(219,181,181)	1.9945	None
ZNF133	LDB2	0.98735	50.19	0.188	rgb(219,181,181)	1.9945	None
ZNF133	LIFR	0.98735	50.19	0.187	rgb(219,181,182)	1.9945	None
ZNF154	ID1	0.98735	50.19	0.19	rgb(219,181,181)	1.9945	None
ZNF276	ATF3	0.98735	50.19	0.195	rgb(219,180,180)	1.9945	None
ZNF276	PTPRG	0.98735	50.19	0.187	rgb(219,181,182)	1.9945	None
ZNF445	SLC9A3R2	0.98735	50.19	0.194	rgb(219,180,180)	1.9945	None
ZNF485	KDR	0.98735	50.19	0.188	rgb(219,181,181)	1.9945	None
ZNF540	ADAMTS9	0.98735	50.19	0.191	rgb(219,181,181)	1.9945	None
ZNF581	IGFBP7	0.98735	50.19	0.19	rgb(219,181,181)	1.9945	None
ZNF652	HES1	0.98735	50.19	0.194	rgb(219,180,180)	1.9945	None
ZNF653	SPRY1	0.98735	50.19	0.185	rgb(219,182,182)	1.9945	None
ZNF736	NFKBIA	0.98735	50.19	0.186	rgb(219,181,182)	1.9945	None
ZZZ3	PREX2	0.98735	50.19	0.189	rgb(219,181,181)	1.9945	None
ATF3	C2CD4B	0.9853	50.12	0.123	rgb(218,193,194)	1.9931	2,2
ATF3	NFKBIA	0.9853	50.12	0.118	rgb(218,195,195)	1.9931	2,2
ATF3	SERTAD1	0.9853	50.12	0.125	rgb(218,193,193)	1.9931	2,2
ATF3	TRA2B	0.9853	50.13	0.127	rgb(218,193,193)	1.9933	2,2
BATF2	CXCL10	0.9853	50.12	0.125	rgb(218,193,193)	1.9931	2,2
BATF2	ENSMMUG00000041662	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	2,2
EGR1	NR4A1	0.9853	50.12	0.121	rgb(218,194,194)	1.9931	None
HES1	ENSMMUG00000012608	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	2,2
HES1	ENSMMUG00000032072	0.9853	50.12	0.124	rgb(218,193,193)	1.9931	2,2
HIC1	IGFBP2	0.9853	50.12	0.119	rgb(218,194,194)	1.9931	2,2
HIF1A	CCL20	0.9853	50.12	0.116	rgb(218,195,195)	1.9931	2,2
HIF1A	ENSMMUG00000019251	0.9853	50.12	0.119	rgb(218,194,195)	1.9931	2,2
HIF1A	GBP2	0.9853	50.12	0.119	rgb(218,194,195)	1.9931	2,2
HIF1A	NFKBIA	0.9853	50.12	0.124	rgb(218,193,194)	1.9931	2,2
HIF1A	YBX3	0.9853	50.12	0.122	rgb(218,194,194)	1.9931	None
IRF1	ENSMMUG00000030920	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	2,2
IRF1	ENSMMUG00000042961	-0.9853	50.12	-1.2E-01	rgb(191,201,222)	1.9931	2,2
IRF1	ENSMMUG00000043492	0.9853	50.12	0.12	rgb(218,194,194)	1.9931	2,2
IRF1	HSPB8	0.9853	50.12	0.119	rgb(218,194,195)	1.9931	None
IRF1	IL4I1	0.9853	50.12	0.118	rgb(218,194,195)	1.9931	None
IRF1	RARRES3	0.9853	50.12	0.118	rgb(218,194,195)	1.9931	2,2
IRF1	UBD	0.9853	50.12	0.118	rgb(218,194,195)	1.9931	None
IRF7	APOL2	0.9853	50.18	0.179	rgb(219,183,183)	1.9943	None
IRF7	ENSMMUG00000013257	0.9853	50.14	0.137	rgb(219,191,191)	1.9935	2,2
IRF7	MX1	0.9853	50.16	0.157	rgb(219,187,187)	1.9939	None
KLF4	C10orf10	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	2,2
NFIB	IGFBP2	0.9853	50.12	0.123	rgb(218,194,194)	1.9931	None
NFIB	ITGA6	0.9853	50.12	0.125	rgb(218,193,193)	1.9931	None
NFIB	VASH1	0.9853	50.12	0.121	rgb(218,194,194)	1.9931	None
NFKB2	TNFRSF6B	0.9853	50.12	0.12	rgb(218,194,194)	1.9931	None
NR4A1	EGR1	0.9853	50.12	0.119	rgb(218,194,195)	1.9931	None
PLAGL1	EDNRB	0.9853	50.12	0.119	rgb(218,194,194)	1.9931	2,2
SOX4	MT-ND4	-0.9853	50.12	-1.2E-01	rgb(191,201,221)	1.9931	2,2
STAT1	ENSMMUG00000011896	0.9853	50.12	0.118	rgb(218,194,195)	1.9931	2,2
STAT1	ENSMMUG00000044002	0.9853	50.12	0.121	rgb(218,194,194)	1.9931	2,2
STAT1	GIMAP4	0.9853	50.12	0.118	rgb(218,194,195)	1.9931	2,2
STAT1	IRF7	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	None
STAT1	UBE2L6	0.9853	50.12	0.121	rgb(218,194,194)	1.9931	None
TBX3	ITGA4	0.9853	50.12	0.122	rgb(218,194,194)	1.9931	2,2
YBX3	HIF1A	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	2,2
ZNF331	EDNRB	0.9853	50.12	0.117	rgb(218,195,195)	1.9931	2,2
ATOH7	CSGALNACT1	0.98325	50.18	0.184	rgb(219,182,182)	1.9943	None
ATOH7	LAMA4	0.98325	50.18	0.178	rgb(219,183,183)	1.9943	None
ATOH7	RAI14	0.98325	50.18	0.178	rgb(219,183,183)	1.9943	None
ATOH7	ZFP36L1	0.98325	50.18	0.18	rgb(219,183,183)	1.9943	None
DEAF1	PLK2	0.98325	50.18	0.176	rgb(219,183,184)	1.9943	None
DPF1	FNDC3B	0.98325	50.18	0.233	rgb(220,173,173)	1.9943	None
DPF1	LHX6	0.98325	50.18	0.233	rgb(220,173,173)	1.9943	None
DPF3	FNDC3B	0.98325	50.18	0.233	rgb(220,173,173)	1.9943	None
DPF3	LHX6	0.98325	50.18	0.233	rgb(220,173,173)	1.9943	None
E4F1	LIFR	0.98325	50.18	0.179	rgb(219,183,183)	1.9943	None
HES6	NFIB	0.98325	50.18	0.183	rgb(219,182,182)	1.9943	None
HIF3A	SOD2	0.98325	50.18	0.177	rgb(219,183,184)	1.9943	None
HIF3A	ZFP36L1	0.98325	50.18	0.177	rgb(219,183,184)	1.9943	None
IRF9	DDX58	0.98325	50.18	0.183	rgb(219,182,182)	1.9943	None
IRF9	RNF213	0.98325	50.18	0.178	rgb(219,183,183)	1.9943	None
MESP2	CHSY1	0.98325	50.18	0.183	rgb(219,182,182)	1.9943	None
PLAGL1	ID3	0.98325	50.18	0.182	rgb(219,182,183)	1.9943	None
POU2AF1	SIPA1L2	0.98325	50.18	0.184	rgb(219,182,182)	1.9943	None
PRDM14	EGLN3	0.98325	50.18	0.184	rgb(219,182,182)	1.9943	None
SNAI3	EGLN3	0.98325	50.18	0.181	rgb(219,183,183)	1.9943	None
TIGD6	CMIP	0.98325	50.18	0.176	rgb(219,183,184)	1.9943	None
ZBTB32	MCF2L	0.98325	50.18	0.179	rgb(219,183,183)	1.9943	None
ZBTB44	SCN1B	0.98325	50.18	0.184	rgb(219,182,182)	1.9943	None
ZBTB45	FNDC3B	0.98325	50.18	0.233	rgb(220,173,173)	1.9943	None
ZBTB45	LHX6	0.98325	50.18	0.233	rgb(220,173,173)	1.9943	None
ZBTB49	HELZ2	0.98325	50.18	0.18	rgb(219,183,183)	1.9943	None
ZFP92	DDIT4	0.98325	50.18	0.179	rgb(219,183,183)	1.9943	None
