	Alv_Gen_Intermediate_Ctrl	Alv_Cap_Ctrl	Gen_Cap_Ctrl	Activated_Alv_Cap_Ctrl	Activated_Gen_Cap_Ctrl	Gen_Cap_LPS	Alv_Gen_Intermediate_LPS	Alv_Cap_LPS	Activated_Gen_Cap_LPS	Activated_Alv_Cap_LPS	Alv_Cap_Combo	Activated_Alv_Cap_Combo	Gen_Cap_Combo	Activated_Gen_Cap_Combo	Alv_Gen_Intermediate_Combo
MMP23B	1.9829	2.323	2.3788	2.2432	0	1.6649	1.4305	2.218	1.101	2.0483	3.4074	2.7557	2.9225	2.2518	2.9138
ENSMMUG00000001894	6.4612	6.6051	6.6442	6.5791	6.1787	6.6208	6.3642	6.8923	6.9125	6.8475	6.6041	6.6659	6.4956	6.7071	6.4179
SLC35E2B	3.0673	2.9235	2.9638	2.58	3.9343	2.0896	1.9357	1.9028	1.8765	2.0483	2.5374	2.6895	2.7248	2.7321	2.503
NADK	6.1924	6.0323	6.1378	6.2421	6.6584	6.1165	6.0927	5.7781	6.0831	5.7125	6.0435	5.8411	6.3844	6.2168	5.7732
GNB1	8.22	8.149	8.1286	8.1665	8.1273	8.1567	8.2094	8.1125	8.1909	8.0157	7.8658	7.9028	8.0119	8.1265	8.1374
PRKCZ	1.4262	1.1126	0.92615	2.58	0	0.62547	0.64627	0	0.46642	0	1.1673	0.38164	1.328	1.5268	1.2634
ENSMMUG00000018916	4.2742	3.8119	3.8682	4.2038	3.0257	4.241	3.6209	4.1977	3.5932	3.1945	3.8428	3.9001	4.13	4.0599	4.5775
SKI	3.2056	3.2319	3.3788	3.8771	3.0257	2.2627	1.4305	2.4765	2.2681	2.5893	2.9566	3.3768	3.2516	2.2518	3.2332
RER1	7.2481	7.1196	7.0545	7.0412	8.0899	7.3342	7.2306	7.2096	7.5751	7.2255	6.9664	7.1355	7.2226	7.3302	7.0717
PEX10	2.1292	2.1658	2.1046	1.8031	3.9343	2.1788	2.3091	2.4765	2.0191	1.8111	2.4461	1.3301	2.4677	2.4303	2.503
PANK4	5.212	5.2456	5.1622	5.3951	5.1985	5.473	5.7581	5.7042	5.5485	5.921	5.611	5.3882	5.3699	4.869	5.1891
TNFRSF14	5.648	6.0208	5.476	6.2888	5.6726	7.0302	7.4793	8.1173	7.7643	8.1299	7.1402	7.7055	6.695	7.347	6.9187
FAM213B	1.9038	2.2465	1.6325	2.58	0	2.4173	1.4305	3.2045	3.3981	3.4642	2.1889	2.9377	1.8865	2.2518	1.7374
ENSMMUG00000038565	0.88257	0.92909	1.3787	2.2432	0	2.2627	1.9357	0.93593	0.46642	0	1.2773	1.1449	1.328	1.1727	0.55273
TPRG1L	4.1426	4.1212	3.5853	4.2038	3.9343	3.7817	3.7477	3.7849	3.2322	3.6195	4.4941	4.2144	3.8351	3.8248	3.9075
WDR8	4.0353	3.864	4.0271	3.9944	3.0257	3.9684	4.0724	3.7849	3.4494	3.6913	4.2049	3.8096	4.1476	3.6193	3.8619
ENSMMUG00000038836	1.7312	1.0238	0.58507	2.2432	0	1.0603	2.4649	0.93593	1.7181	1.1728	2.4461	1.4941	1.5569	1.1727	3.8619
LRRC47	2.4957	2.6836	2.5112	3.0822	0	1.5358	2.8512	1.9028	1.3373	2.0483	2.4461	2.9377	2.6524	2.7321	3.0823
CEP104	4.6464	4.5608	4.9216	5.3951	4.4874	4.7135	4.4158	4.5182	4.2433	4.8059	4.2325	4.6394	4.5904	4.3085	4.2636
DFFB	1.7312	1.2754	1.4332	0	0	0.85923	1.4305	1.4989	1.101	1.527	1.7284	1.1449	1.7998	1.1727	1.5198
C1orf174	4.2424	4.4544	4.0878	4.2038	3.9343	4.199	4.3373	4.3345	3.6817	3.8875	4.4121	4.3704	4.1651	3.8873	4.2281
NPHP4	2.3836	2.3598	2.293	2.8529	0	1.5358	1.091	2.4765	1.5402	2.5893	2.4461	2.6895	2.3197	2.9816	2.0936
KCNAB2	2.5487	2.0355	2.1378	2.2432	3.9343	2.5569	2.1344	2.218	2.5758	2.7323	2.6232	2.7557	2.6769	1.8109	2.723
ENSMMUG00000018347	10.05	9.7006	9.976	9.6709	10.346	9.7932	9.6881	9.1955	9.7272	9.1594	9.3334	8.9315	9.6272	9.6752	9.4692
RNF207	2.3836	2.3956	1.6783	1.8031	3.9343	2.5569	3.4818	4.1977	2.7496	3.4642	3.2544	3.0994	2.6524	1.1727	1.9264
ICMT	3.2383	3.7716	3.6091	3.454	3.0257	3.2345	2.6055	3.4652	3.11	3.0921	3.5011	3.6093	3.3767	3.2899	3.2332
ACOT7	1.9038	2.9718	2.2329	2.2432	0	1.9945	2.7336	2.4765	2.5758	2.252	2.9566	2.3036	2.5229	2.4303	2.6172
HES2	1.7312	2.0355	0.84814	0	3.0257	1.2368	1.4305	0	0.81833	1.527	0.7756	0	0.62245	0.70235	0.55273
TNFRSF25	5.0923	4.8721	5.8682	4.4701	6.3144	4.9598	4.9253	3.9644	3.7651	3.2901	4.4827	4.6911	5.8274	4.8377	4.8816
PLEKHG5	6.289	5.781	6.4841	5.895	6.1787	6.3836	6.3342	6.0802	5.9995	5.8755	5.87	5.8411	6.6226	6.3668	6.4871
NOL9	4.8916	4.66	5.0835	4.9485	4.8863	4.6051	4.2109	4.3345	4.4337	4.0049	4.6247	4.9103	5.1898	5.0709	5.0738
ZBTB48	4.4791	4.3486	4.6267	4.6237	3.9343	3.8647	4.6929	4.9604	4.2721	4.1134	4.3378	4.1907	4.329	3.5437	3.6635
ENSMMUG00000042613	2.743	2.4981	2.561	2.2432	0	2.6842	2.6055	2.4765	2.3781	2.7323	3.4314	3.0475	3.2185	2.8623	3.3031
PHF13	0.88257	1.1963	1.0706	1.1666	0	0.85923	0.64627	1.4989	0.46642	1.527	1.6488	1.3301	0.72018	0	1.2634
THAP3	2.0579	1.9893	1.8076	2.58	0	1.0603	1.091	2.6957	0	1.1728	1.8756	1.7751	1.8438	2.0482	1.7374
DNAJC11	4.5327	4.9645	4.8025	4.8891	4.4874	4.8689	4.6929	4.6811	4.8701	5.0163	4.55	4.2834	4.8924	4.869	4.6597
ENSMMUG00000043877	3.9195	3.3644	3.8878	3.8771	4.8863	4.5392	3.8642	4.3345	4.579	4.9592	3.5011	3.5731	3.9503	4.5593	3.8148
VAMP3	8.6919	8.6159	8.2506	8.6727	8.333	9.2499	9.4525	9.0265	8.708	8.675	8.8726	8.9747	8.8901	9.1158	9.0774
PER3	3.6063	3.3644	4.1296	3.2801	3.9343	3.8099	4.2109	3.686	3.2896	3.6913	4.2861	4.5858	4.616	4.5593	4.0362
ENSMMUG00000038181	7.4907	7.2067	7.2387	7.1962	7.5449	7.0628	6.8755	6.7649	7.2237	6.8709	6.954	6.9179	6.8702	7.1121	7.0259
ERRFI1	1.4262	1.9416	1.9262	2.2432	0	2.8562	3.3279	2.8859	4.8888	4.7054	3.1132	2.3036	3.2678	3.2899	3.3031
RERE	6.9781	6.735	6.9417	6.8365	6.5526	7.1781	7.0578	7.0695	6.7934	6.6986	6.8905	7.1933	7.2351	7.3302	7.1963
H6PD	0.88257	1.7882	1.1377	2.2432	0	1.6649	1.091	1.4989	1.7181	0	1.8756	2.1147	1.3887	0.70235	1.7374
SPSB1	1.4262	1.7333	1.2018	2.2432	0	2.3421	2.1344	2.218	3.0447	3.1945	1.8039	2.8796	1.447	1.8109	1.9264
SLC25A33	4.4516	4.4962	3.8483	4.4701	0	4.2202	4.3373	4.5182	4.8511	4.3973	3.3582	3.6792	3.2516	3.2899	3.3031
PIK3CD	1.9829	2.1237	2.3788	1.8031	0	2.0896	1.9357	1.9028	0.81833	1.527	2.1889	1.6414	1.9684	1.1727	1.5198
CTNNBIP1	6.6847	6.3909	6.4777	6.4412	6.3144	6.7058	6.6423	5.9584	6.4535	5.8755	6.5558	6.3171	6.9914	6.4927	6.7785
LZIC	6.5515	6.4518	6.3114	6.334	6.6584	5.999	5.8877	5.7781	5.9646	5.7963	6.0279	5.8713	6.1215	6.2409	6.1785
NMNAT1	2.5487	2.5938	2.9638	2.2432	3.0257	3.104	3.8071	3.4652	3.3981	2.9818	2.4461	2.4705	2.7482	2.4303	2.6172
UBE4B	5.1012	5.1065	5.2253	5.6308	5.6726	5.2749	4.978	4.9604	4.5558	4.5974	5.1795	4.8661	5.2886	4.8057	4.9486
ENSMMUG00000040221	5.3749	5.1648	5.1296	5.3071	5.8617	5.126	5.3816	5.544	4.711	4.8998	5.2075	5.1383	5.3699	5.2948	5.2786
ENSMMUG00000030440	4.3508	4.5608	4.7711	4.4701	3.9343	3.8376	3.4818	4.0464	4.1839	4.5596	4.2461	4.2378	4.5904	4.5593	3.8619
PGD	5.1188	4.7936	5.4399	4.8891	4.4874	5.7742	5.4391	5.3954	5.6397	5.5089	4.8282	5.1871	5.5267	5.4269	5.3952
CORT	3.1381	2.9954	3.3222	3.2801	0	2.8011	2.6055	2.6957	2.4803	2.4305	2.5374	2.5472	2.7938	2.4303	2.9138
DFFA	2.8733	3.1503	3.2783	3.2801	3.0257	3.0577	3.1557	2.4765	2.5758	2.0483	2.8179	2.6201	3.1674	3.3795	3.4335
PEX14	4.8288	4.7178	4.7764	5.1132	4.4874	5.0093	4.6929	5.572	4.711	5.0711	4.6759	4.6394	4.954	4.8996	4.8352
ENSMMUG00000039778	2.324	2.5626	2.4063	2.2432	0	1.5358	1.9357	3.2045	1.3373	1.1728	2.6232	1.4941	2.3505	2.0482	2.503
ENSMMUG00000019981	3.5293	3.9267	3.7007	3.8771	3.0257	2.1788	2.1344	2.4765	2.0191	2.5893	3.5236	3.8404	3.4498	3.3795	3.4945
ENSMMUG00000042194	1.3082	1.6166	1.3787	2.58	0	0.62547	0	1.4989	0.46642	1.527	1.2773	1.7751	1.0559	1.8109	0.55273
TARDBP	4.942	5.0057	4.823	5.261	3.9343	4.2202	4.3373	4.5182	4.2721	4.8692	5.0145	5.1006	4.8553	5.2716	4.3321
SRM	3.6063	3.5667	3.7337	3.7494	4.4874	3.3154	2.8512	2.4765	3.3449	2.4305	3.5458	3.7781	3.3464	3.8873	3.0005
EXOSC10	5.3226	5.5137	5.4696	5.1642	4.8863	5.3344	5.3619	4.9604	5.1592	5.5286	5.4441	5.3986	5.5435	5.5479	5.7357
MTOR	5.0191	4.9221	5.1862	4.6947	4.8863	4.7283	4.7241	4.1977	4.9255	5.1998	4.9159	5.1629	5.1199	4.9296	4.9486
FBXO44	2.5487	2.8735	1.8878	3.2801	0	3.1923	3.2444	4.0464	2.5758	4.2623	2.9232	4.2378	2.9225	3.4639	2.8215
FBXO6	1.9829	1.4217	0.84814	2.58	0	2.4173	2.4649	3.2045	2.5758	2.5893	2.3982	3.1979	2.1892	3.2899	2.6172
MAD2L2	3.8578	3.8382	3.2019	4.2038	3.0257	3.8376	4.0724	4.0464	3.7651	4.0602	3.9127	4.2144	3.6978	4.1132	4.1544
AGTRAP	5.5278	5.8537	5.0182	6.0656	5.1985	5.9428	6.1164	6.4702	6.237	6.618	6.0396	6.5401	5.6589	6.0763	5.7732
MTHFR	3.7489	4.0555	3.878	2.58	3.0257	3.2755	4.2109	4.8275	2.7496	4.7397	4.2729	4.6568	3.7681	4.0046	4.0362
CLCN6	3.7713	3.9749	3.9638	3.2801	3.0257	4.2616	3.9191	4.4595	3.8439	4.3537	3.9127	3.9575	4.1564	3.8248	3.9517
KIAA2013	4.1253	4.1738	3.6091	3.8771	3.9343	3.9175	3.972	4.2677	3.8439	4.0602	4.539	4.8204	4.13	4.0599	4.3651
PLOD1	6.59	6.8428	6.6727	6.913	6.1787	7.3678	7.6914	7.5134	7.1325	6.9681	7.1833	7.3701	7.3155	7.3414	7.4752
MFN2	2.6491	2.6836	2.5363	3.7494	3.0257	1.0603	2.4649	2.4765	2.0191	2.252	2.6643	2.9377	2.602	2.0482	1.5198
MIIP	5.654	5.8569	5.146	5.8645	4.4874	5.0214	5.2803	5.7042	4.7727	5.0978	5.4733	5.4089	5.0511	4.959	4.9915
TNFRSF1B	4.6824	4.01	4.7118	4.2981	5.1985	5.8643	5.6157	5.7781	6.4661	6.0766	5.2006	5.8258	5.4822	6.1546	5.4578
VPS13D	5.4111	5.6349	5.8707	5.3071	5.1985	4.7862	4.7546	5.3954	4.4337	4.8059	5.4791	5.4792	5.6894	5.6773	5.3464
DHRS3	8.1521	8.4057	7.5694	8.3593	7.1687	7.1942	7.5679	8.0885	6.7684	7.2673	8.6888	7.9706	7.354	7.1761	8.2721
PDPN	2.1292	2.2853	1.9262	0	0	1.5358	0	1.4989	1.3373	1.527	1.7284	1.7751	1.928	1.1727	1.5198
PRDM2	6.5548	6.4708	6.5254	6.739	6.0289	6.1609	6.2075	6.2281	6.237	6.4103	6.2734	6.448	6.5229	6.2528	6.41
KAZN	3.3013	2.323	3.5972	2.2432	3.9343	2.8562	2.4649	2.218	3.0447	3.1945	1.8756	1.8974	3.0781	3.3795	2.503
TMEM51	4.9519	4.6819	4.6896	4.5489	5.1985	5.2443	5.2592	5.1942	6.0585	5.7296	4.8192	5.6885	5.0882	5.7122	5.0333
CASP9	4.7631	4.7665	4.8281	4.9485	4.4874	4.6833	4.2109	5.2983	5.0303	5.6235	4.9328	4.9812	4.7608	5.248	4.46
DNAJC16	3.9977	4.0329	4.1782	4.1029	3.0257	4.3018	4.3373	3.7849	4.122	4.7054	3.7312	4.1907	4.2977	4.397	3.9075
ENSMMUG00000019912	4.5587	4.7107	4.3437	4.8891	5.1985	3.5673	3.9191	4.5746	3.8439	4.1648	4.6143	4.4919	4.1651	4.5593	4.2982
PLEKHM2	6.2495	6.0577	6.1193	5.9542	6.6584	6.2562	6.1627	5.9794	6.7429	6.8077	6.02	6.0401	5.91	6.1922	5.8335
FBLIM1	6.7341	5.2843	7.3411	4.7625	7.1687	7.2723	7.1236	4.9604	7.2274	5.6235	4.8282	5.2226	7.1782	7.3908	6.0724
SPEN	7.7273	7.5665	7.8464	7.4637	8.0899	7.4904	7.5419	7.447	7.2529	7.3305	7.3515	7.2746	7.8255	7.4746	7.9321
ZBTB17	4.2742	4.0996	4.4333	3.9944	4.4874	4.9598	5.0288	4.5746	5.1592	4.9592	4.5932	4.4324	4.5444	4.397	4.7375
SRARP	0.88257	1.4896	1.9262	0	0	2.4888	2.6055	1.4989	1.5402	0.70244	2.0092	0.68316	2.9019	1.8109	3.0005
EPHA2	3.3013	2.1658	3.7552	2.2432	6.3144	5.6076	5.3419	3.7849	6.3013	4.5974	2.2441	2.5472	3.4498	4.2621	2.723
FBXO42	2.743	3.0859	3.4985	3.0822	0	3.4647	3.0612	3.054	3.1724	3.0921	3.1714	3.0475	3.2516	3.6193	3.3698
C1orf144	6.5677	6.5819	6.463	6.6162	6.4384	6.7428	6.9565	6.6383	6.9751	6.8939	6.503	6.502	6.686	6.9822	6.8267
NECAP2	5.4324	5.9801	4.7337	5.9542	4.4874	3.6319	2.8512	4.6288	4.1533	4.1134	5.6267	5.7137	4.7493	4.869	5.3129
ENSMMUG00000044637	2.1292	1.6761	1.8878	2.8529	0	1.2368	0	0	0.46642	1.1728	2.0716	1.1449	1.503	0.70235	1.2634
ENSMMUG00000038976	0.50775	0.92909	0.67819	0	0	1.394	0.64627	0.93593	1.101	1.527	1.5645	1.3301	0.89777	0.70235	1.2634
CROCC	3.3911	3.7017	3.8179	3.0822	3.0257	3.1488	2.96	2.8859	2.7496	3.2901	3.0213	2.8796	3.3464	3.2899	3.2332
MFAP2	3.9394	3.9019	4.6784	3.7494	0	3.0577	2.96	2.4765	2.2681	1.8111	3.1996	1.3301	3.5726	2.5891	3.0005
ATP13A2	5.2919	5.3769	5.7552	5.261	6.1787	4.6369	5.0288	4.9174	4.579	4.4396	4.539	4.4919	5.0836	4.9296	4.8114
SDHB	6.1459	5.9503	5.7391	5.8645	5.6726	6.1389	6.251	6.2799	6.0251	5.7963	5.7125	5.9298	5.6497	5.9057	5.88
PADI2	1.0388	0.71876	1.0002	1.1666	3.0257	0.34637	0	0.93593	0	1.527	1.1673	1.3301	1.1289	1.1727	0
RCC2	7.1029	6.626	7.2416	6.5602	7.7503	6.7896	6.7217	6.625	7.0518	6.6986	6.3572	6.5306	6.8795	7.0724	6.7221
ALDH4A1	3.5027	3.5509	3.0707	4.2038	0	3.1488	2.7336	3.7849	1.7181	1.527	3.5011	2.5472	2.8809	2.5891	3.0823
ENSMMUG00000004754	2.1292	2.4648	1.6783	1.1666	3.0257	2.1788	1.9357	2.4765	1.8765	2.0483	2.5374	2.6895	2.0458	1.5268	1.9264
UBR4	5.7589	5.8079	5.8927	5.7015	4.8863	5.41	5.4202	5.6527	5.5128	5.6951	5.6727	5.8935	5.7104	5.8597	5.5031
EMC1	1.8201	1.8923	2.3508	1.8031	0	1.0603	1.9357	0.93593	2.0191	1.527	2.4925	2.6201	2.4677	2.4303	1.7374
MRTO4	4.9519	4.8464	5.1213	4.4701	5.6726	4.7862	4.6285	4.7803	5.0471	4.8692	4.6859	4.7409	4.7723	4.8057	4.549
AKR7A2	4.6824	4.8464	4.1782	4.4701	3.0257	3.8376	4.2543	4.3345	3.5932	3.1945	4.55	4.2378	4.3367	3.8873	4.7626
PQLC2	4.2263	4.3394	4.0359	4.1029	3.0257	4.1776	4.2109	4.1977	4.3003	4.3537	4.2729	4.4324	4.094	4.1646	4.549
CAPZB	7.8232	7.657	7.6713	7.8767	7.369	7.9089	8.0308	7.611	7.7336	7.5967	7.7596	7.8085	7.8418	7.9693	7.8381
MINOS1	5.6111	5.6609	5.3788	5.6308	5.6726	5.41	5.1714	4.8275	5.0471	5.1497	5.2952	5.3133	5.3924	5.3624	5.5031
ENSMMUG00000003234	2.1292	1.4896	1.7227	1.1666	0	1.9945	2.4649	3.054	1.8765	2.5893	2.1314	1.4941	2.2559	0.70235	1.5198
ENSMMUG00000032231	4.1426	4.7527	3.9263	4.2038	3.9343	4.4878	4.8706	4.8732	4.5558	4.6343	4.6658	4.6039	4.2329	4.1132	4.6054
ENSMMUG00000010764	2.5487	2.6244	2.7658	2.8529	3.0257	2.0896	2.8512	3.3407	3.0447	3.3797	2.9566	3.3341	2.9225	3.1942	2.9138
MUL1	4.6824	4.5687	4.233	4.9485	5.4549	4.1111	4.1662	5.1204	3.805	3.6913	4.1768	4.4525	4.057	4.1646	4.1917
CDA	3.2056	3.7159	2.2019	4.1029	0	2.4888	2.3091	2.4765	1.5402	0.70244	2.6232	2.1147	2.0458	2.2518	2.0936
PINK1	5.7812	5.8045	5.4433	4.9485	5.6726	5.1917	5.3816	5.6787	4.5558	4.988	5.5356	5.6102	5.24	5.1747	5.6578
DDOST	6.3236	6.1732	6.0814	6.541	6.757	5.9555	5.8599	5.871	5.9199	5.5863	6.4185	6.1972	6.2125	6.452	6.251
KIF17	3.631	3.4858	3.3649	3.6093	0	3.0099	3.2444	2.8859	2.4803	2.252	2.8179	3.4182	2.838	2.9816	2.8215
HP1BP3	8.2403	8.1265	8.0659	8.2277	8.2676	7.9881	8.0738	7.9409	7.6565	7.7348	7.9502	8.0084	7.9641	7.8952	8.0461
EIF4G3	7.9952	8.068	7.8645	7.8767	7.369	7.3415	7.3947	7.5134	7.1712	7.3361	7.6867	7.7387	7.624	7.5392	7.7185
ECE1	8.9634	8.3284	9.2802	8.4077	9.0873	9.3122	9.028	8.7303	9.5882	9.2995	8.3006	8.5577	9.3045	9.132	8.9741
USP48	6.2535	6.3133	6.3004	6.2656	6.3144	6.2715	6.174	6.3462	5.8737	6.0495	6.3062	6.2726	6.4571	6.2646	6.4336
HSPG2	3.6793	2.4648	4.8927	2.2432	0	4.1776	3.3279	3.686	4.7319	3.825	3.4074	3.4585	4.6223	4.3534	3.5531
ENSMMUG00000020035	2.9928	2.0355	2.4063	1.8031	3.9343	0	0	0	0	0	0	0	0	0	0
CDC42	9.2489	9.067	8.937	9.0967	9.143	8.882	8.9311	8.9244	9.4509	9.0696	8.7628	8.9053	8.7864	8.9186	8.9874
ZBTB40	4.0538	4.153	3.9913	4.2038	3.0257	3.2345	2.4649	2.8859	3.0447	2.9818	3.9127	3.8706	3.7681	3.7595	3.5531
C1QC	0.88257	1.4896	1.4856	3.454	0	1.5358	0.64627	0	1.101	1.1728	2.8179	2.0102	2.4103	1.1727	1.7374
KDM1A	6.1373	6.0237	6.3023	6.1183	6.1787	5.8976	5.9417	6.156	5.6832	6.3112	6.097	6.0987	6.1977	6.2046	6.2946
LUZP1	8.4234	8.5514	8.1265	8.4339	8.3956	7.9491	8.0948	8.4315	8.2041	8.3288	8.4224	8.5773	8.1591	8.2711	8.3852
HNRNPR	8.1943	7.9372	8.0616	7.9293	8.4555	7.9789	7.8763	7.8638	8.0773	7.9255	7.7808	7.9101	7.9043	8.2144	7.9071
ZNF436	6.1111	6.0799	6.1822	6.334	6.1787	7.3073	7.0269	6.936	7.2565	7.0386	6.1083	5.8861	6.2901	6.4827	6.1692
TCEA3	1.4262	2.0355	2.1702	2.8529	0	1.7833	1.091	0	0.46642	1.1728	1.944	1.3301	1.9684	1.5268	0.95138
ASAP3	2.5487	2.4306	2.9072	2.8529	0	2.9093	2.4649	0	2.6653	2.252	2.0716	1.7751	2.4956	3.0918	2.6172
ID3	9.1187	9.5741	8.5251	9.5298	8.9271	9.5407	9.2664	9.552	8.84	8.7078	8.8981	9.7045	8.768	9.654	8.527
MDS2	2.6491	2.3956	1.9262	3.0822	3.0257	2.9093	2.96	2.8859	3.4989	3.0921	2.4925	3.7459	2.3197	2.2518	2.379
RPL11	9.4611	9.3443	9.3924	9.3626	9.7691	9.464	9.2624	8.9724	9.2737	8.9594	9.0029	8.7383	9.0578	9.1607	9.1168
ELOA	5.9433	5.983	5.9661	6.1691	5.4549	6.1609	6.174	6.0995	6.4472	5.906	5.992	6.1426	5.9658	6.2168	6.1598
PITHD1	5.6957	5.5579	5.333	5.2134	5.4549	5.1371	5.6966	5.1578	4.711	4.4807	5.2554	5.1383	4.9936	5.4057	5.1133
LYPLA2	5.2841	5.2891	5.4063	5.895	5.1985	5.6076	5.8315	5.082	5.3868	5.6951	5.3339	5.4192	5.4995	6.0355	5.4731
GALE	3.5027	3.8768	3.8382	3.454	3.0257	4.668	4.4158	4.7316	5.0636	4.2144	4.104	3.9001	4.6412	4.8057	3.9075
HMGCL	4.818	5.101	5.0491	4.9485	5.6726	4.5223	4.7845	4.5182	3.8439	4.1648	5.1217	4.8204	4.7836	4.5593	5.2255
FUCA1	6.4156	6.3797	6.3276	6.1439	6.1787	6.1277	6.1164	5.8934	5.7045	5.406	6.1194	6.1114	6.0921	6.3336	6.2599
PNRC2	7.4771	7.2853	7.0513	7.159	7.8872	7.2621	7.6227	7.6042	7.2457	7.1638	7.437	7.3327	7.233	7.3358	7.4941
ENSMMUG00000038562	6.209	6.3389	6.3543	6.1938	5.6726	6.1554	6.0807	6.485	6.2943	6.3888	6.728	6.5401	6.6585	6.3668	6.6299
ENSMMUG00000037652	2.5998	2.323	2.6325	2.2432	0	2.6842	2.7336	2.6957	1.7181	2.252	2.3982	1.6414	2.7011	2.8623	2.8215
STPG1	1.9038	1.6761	0.67819	1.8031	0	0	0	2.218	1.7181	1.527	1.475	1.3301	0.72018	1.5268	0.95138
NIPAL3	5.7419	5.6274	5.1662	5.1132	5.6726	5.3914	5.565	5.8019	5.3736	6.1549	5.8612	6.2613	5.4891	5.7797	5.6973
RCAN3	5.11	4.8464	5.0491	4.3867	3.9343	3.9932	3.8071	4.0464	3.9896	4.0049	4.089	4.6568	5.0369	4.9296	4.5199
SRRM1	7.76	7.5557	7.6994	7.4739	7.5449	7.8439	7.7303	7.9355	8.0401	8.094	7.5767	7.6479	7.6668	7.726	7.7217
ENSMMUG00000002416	7.8405	7.6158	7.7289	7.7066	7.843	7.1508	7.2306	6.9252	7.0927	7.0386	7.6347	7.695	7.7113	7.5871	7.6796
SYF2	7.0761	7.1838	6.7698	7.3691	7.3053	6.9502	6.8188	6.9467	6.8131	7.1826	7.0674	7.0913	6.8515	7.0383	7.1112
C1orf63	8.1381	7.9975	7.9066	7.907	7.843	8.008	7.7719	8.0542	8.1834	8.3731	8.266	7.946	8.0376	7.837	8.3255
