	AT1_Progenitor_Ctrl	Differentiating_AT2_Ctrl	AT2_Progenitor_Ctrl	AT1_AT2_Ctrl	AT1_Ctrl	Differentiating_AT1_Ctrl	AT2_Ctrl	Differentiating_AT1_LPS	AT2_LPS	Differentiating_AT2_LPS	AT1_LPS	AT2_Progenitor_LPS	AT1_AT2_LPS	AT1_Progenitor_LPS	AT2_Combo	AT1_Combo	Differentiating_AT1_Combo	AT1_Progenitor_Combo	Differentiating_AT2_Combo	AT1_AT2_Combo	AT2_Progenitor_Combo
PUSL1	0	0.90301	0	0.31607	0.7356	0.95448	0.35139	0	1.3128	0	0	1.2408	0	0	1.1097	0.9412	0.68214	1.762	0.60269	0.82516	0.56826
INTS11	5.4945	5.8024	5.5625	5.4469	5.5648	5.7733	5.1374	6.0569	5.3775	5.4306	5.8636	5.3888	5.551	6.2312	5.1341	5.7606	5.8686	5.2657	5.4	5.5779	5.1795
CPTP	3.482	1.852	2.6375	3.1032	2.4997	2.7786	2.7039	2.9179	2.6876	2.5284	2.701	3.1984	2.7043	0	2.8372	3.0899	3.2191	3.6043	2.211	3.3372	2.9557
MXRA8	5.194	4.8058	4.9814	5.2097	4.7155	4.731	4.6435	3.7506	3.2344	3.6003	4.2178	3.73	3.9561	2.4938	3.6834	5.0196	4.81	5.0042	3.8301	4.3539	4.1615
CCNL2	6.0688	7.9597	7.2309	6.6146	6.5563	7.8356	6.4345	8.1244	6.2865	7.9368	6.655	7.0652	6.4989	6.8097	6.2682	6.6113	7.8029	6.418	7.7176	6.5342	6.7795
ENSMMUG00000013280	5.6488	6.7197	6.8752	6.4983	6.0483	5.4717	7.2334	6.5156	7.6502	7.0889	7.2457	7.251	7.2739	6.8097	7.4488	6.6884	6.2005	6.4708	6.742	6.9032	6.8077
ENSMMUG00000047918	5.1256	2.8257	4.1827	4.5109	4.8098	3.4393	4.5447	2.643	3.7002	1.3728	4.0036	4.0598	3.6405	4.2876	3.8079	3.9463	2.7207	4.3876	2.8525	4.0655	3.8354
ENSMMUG00000045301	4.2965	4.2016	4.8382	4.7529	4.7277	3.747	4.6905	2.9179	4.115	2.8795	4.4291	3.9368	4.3235	5.8225	4.1852	4.7256	3.6247	4.2733	3.4051	4.4889	4.4435
ENSMMUG00000001549	3.6858	3.8991	3.6078	3.7006	3.7458	4.0215	3.3753	5.1334	5.1552	5.6969	5.0406	4.9538	5.1042	4.2876	4.3581	3.7629	3.7596	4.1491	4.5421	4.1305	4.5061
SSU72	7.0943	5.6357	6.7102	6.9875	6.9726	5.9258	7.0414	5.4471	7.2552	5.5578	7.1258	6.6611	7.1701	7.6783	7.367	7.2264	5.9833	7.1015	5.8065	7.2386	6.9412
MIB2	4.8984	5.5579	4.8382	4.6299	4.575	5.5676	4.675	6.0282	4.5324	5.7189	5.2075	5.2406	4.9158	4.8478	4.7602	4.7422	5.8723	5.2046	5.6662	4.8625	5.0593
MMP23B	4.1663	3.6217	3.7744	4.3118	4.8324	3.5589	3.3753	2.787	1.5749	1.759	2.8552	1.6064	2.165	4.2876	1.7677	3.1157	3.3317	4.7713	2.8525	2.5702	2.4181
ENSMMUG00000001894	5.3817	5.8247	5.8318	5.6784	5.7063	6.1424	5.894	6.5362	5.689	6.5788	5.9855	5.9464	5.9806	5.936	5.7644	5.7483	6.2979	5.9815	6.1232	5.7029	5.9613
SLC35E2B	3.482	2.1635	2.8009	1.6801	1.872	1.7419	1.9099	1.8572	1.4498	1.3728	0.79382	2.1402	1.1121	2.4938	1.2242	1.3412	2.2565	2.0666	2.211	1.9177	1.142
NADK	5.994	6.8667	6.6685	6.5177	6.0675	6.1182	6.9478	7.2338	7.407	7.5952	7.2422	7.1157	7.3909	7.5052	7.0525	6.5583	6.6217	6.6647	7.1994	6.9217	6.7539
GNB1	6.9826	5.6853	5.4439	6.2045	6.5323	5.9696	5.8602	6.1127	6.3002	5.7618	6.428	6.039	6.4007	6.3989	5.8737	6.4435	5.9695	6.4578	5.575	6.2156	5.8082
CFAP74	0	2.1635	0.80414	1.6801	1.4717	1.2671	1.6809	0	0.16825	0	0.79382	0	0.78743	0	0.43969	0.38594	0.53942	0.84579	0.33259	0.38813	0.31193
PRKCZ	4.1663	2.9927	3.6935	4.2939	4.6785	5.07	3.2554	3.3478	1.3829	2.3145	3.3464	2.3476	2.4973	0	2.8727	3.6962	4.2236	3.9402	3.0461	3.3806	3.125
ENSMMUG00000018916	4.7243	3.7202	4.4523	4.6721	4.6785	3.9357	4.6593	2.787	4.1951	3.0275	4.2736	4.5542	4.2372	3.3597	4.3392	4.6125	3.4361	4.8128	3.474	4.4988	4.4751
SKI	2.6056	2.4195	1.3174	1.5653	1.872	2.1754	1.5512	0	1.1615	2.0634	1.6785	1.6064	1.2059	2.4938	0.9854	0.82112	2.5819	1.3755	2.1278	0.94567	1.4274
ENSMMUG00000040022	0	1.4541	0	0.79477	0.91593	1.1193	1.0726	1.5692	1.3829	3.0275	0.45083	0	1.2059	0	0.69915	0.54603	0.68214	0	1.1994	0.69367	0.78585
RER1	7.3405	6.5823	7.127	7.7138	7.9095	6.8537	7.4895	6.5053	8.2375	6.6941	7.7765	7.4327	8.0544	7.5052	8.1375	8.0156	6.7986	7.6288	6.6219	7.992	7.6042
PEX10	2.1346	1.852	1.9944	2.4353	2.6601	2.9634	2.197	3.1488	2.7684	2.5284	2.9945	2.8349	2.7361	3.3597	2.8551	2.7386	2.545	2.5319	2.5026	2.3694	2.4818
PANK4	4.4159	4.8499	4.1827	4.5109	4.4922	5.0395	4.4201	6.2054	4.5553	5.7827	5.0245	4.9538	4.9635	5.063	4.32	4.6216	4.9923	4.4935	5.231	4.6305	4.3611
TNFRSF14	5.5992	6.5559	6.0094	6.1803	6.0675	6.2618	5.9658	7.5386	7.0497	7.5222	7.5776	7.1577	7.3034	6.8681	6.6459	7.2499	7.2691	6.5343	6.637	7.0616	6.6328
FAM213B	4.1663	1.4541	2.242	2.7821	3.0559	1.9312	2.6415	3.4378	2.602	2.0634	3.5408	2.5289	3.096	3.3597	2.19	2.8955	2.0613	2.7183	2.2896	2.7465	2.2815
ENSMMUG00000009347	4.0232	3.7202	3.993	4.9372	4.8547	4.4036	4.0395	2.4829	1.4498	0.8439	2.332	2.3476	1.294	0	2.3748	4.109	4.0633	3.8633	2.2896	3.4837	1.9621
ENSMMUG00000038565	4.4159	4.8058	4.9469	4.8784	5.0215	4.9105	4.7058	4.5821	3.6008	4.3835	4.2178	3.3982	3.8727	3.3597	3.5581	4.4997	4.6013	3.4015	3.907	4.2984	3.9748
ARHGEF16	3.2445	2.4195	2.242	3.1437	3.5951	2.6764	2.4363	1.2088	2.0329	1.759	2.6172	1.8978	2.8567	3.897	2.3244	3.6082	3.0185	3.6043	2.5026	3.1741	2.8144
TPRG1L	4.5262	1.4541	3.0808	3.0614	3.7927	2.9634	3.2965	1.8572	2.964	2.0634	3.0595	2.3476	2.8275	0	2.9579	3.5145	2.8473	4.0133	2.211	2.8428	2.764
WDR8	3.482	3.2779	3.993	3.8793	3.9037	3.4078	3.3364	3.1488	3.6442	2.5284	3.9011	3.4886	4.0476	5.063	3.9225	3.7131	3.8531	3.4015	3.474	3.8662	3.708
ENSMMUG00000038836	4.4159	3.8124	4.7609	4.6155	4.4193	3.5874	4.8645	3.5226	4.5854	2.7146	4.3791	4.3763	4.0851	3.897	4.7791	4.5572	3.7434	5.0741	3.8562	4.7092	4.7325
LRRC47	3.2445	1.4541	2.4533	1.5653	1.7819	1.9312	2.6415	0	1.5749	1.3728	2.332	0	1.4554	3.3597	2.3748	1.8508	2.1127	1.762	1.9456	2.0845	1.6655
CEP104	5.0538	4.8058	4.8001	4.9022	4.9301	5.2935	4.4201	5.8915	4.5553	5.4306	4.9579	4.7858	4.8735	5.063	4.4374	4.7339	5.2316	4.5922	5.2008	4.3968	4.5807
DFFB	0	0	0.80414	0.57519	0.52947	1.5239	1.2503	0	1.2392	0	1.0707	1.2408	0.66065	2.4938	1.2242	0.82112	1.5679	1.762	1.3537	0.82516	0.56826
C1orf174	3.8644	2.1635	3.2028	3.6167	4.0068	3.4702	3.486	2.787	3.8439	2.7146	4.0993	3.5736	4.0348	3.897	3.7613	4.0299	3.3099	4.2733	3.2564	3.7715	3.0845
NPHP4	1.4306	1.4541	1.6952	2.2984	2.6601	2.5083	1.0726	2.3029	1.8958	3.3976	2.332	2.3476	2.4597	2.4938	1.978	2.5246	2.9913	1.762	2.5671	1.3468	2.6014
KCNAB2	2.6056	1.4541	1.3174	1.8853	1.4717	2.1754	1.4086	1.8572	1.3128	2.8795	2.701	1.6064	1.9103	0	1.6082	2.024	2.545	2.5319	1.737	1.7947	1.142
CHD5	1.4306	0	0	1.4407	1.872	1.9312	0.35139	0.7275	0.16825	0	0.79382	0	0.1956	0	0	0.82112	1.1434	0	0.33259	0.20708	0.56826
ENSMMUG00000018347	10.81	9.2872	10.473	10.645	10.62	10.137	10.643	8.9139	10.179	8.8344	10.089	9.8967	10.208	10.618	10.191	10.18	9.4158	10.365	9.1753	10.258	10.117
RNF207	4.1663	4.7602	4.5927	5.2097	5.4742	6.3095	3.6847	6.5362	3.494	4.7672	5.3699	4.8889	4.6746	3.3597	2.9074	5.3422	6.2756	4.5922	4.2395	4.3968	3.708
ICMT	4.5262	3.7202	3.9237	4.5567	5.0889	4.3712	4.324	2.0972	3.5253	2.7146	3.9702	3.1984	3.769	3.3597	4.0366	4.3773	3.6767	3.9402	2.9525	4.0522	3.8596
ACOT7	5.194	3.516	4.1222	4.9372	4.9612	4.2161	3.3364	3.038	2.3098	1.3728	4.3791	2.1402	3.0461	3.897	2.8372	4.8687	4.1019	3.6959	2.211	3.8814	3.3465
TNFRSF25	2.9602	2.4195	0.80414	1.4407	1.2204	2.3842	0.86976	2.643	0.69462	1.3728	0.79382	1.8978	1.1121	0	1.1681	0.82112	1.7732	2.7183	1.6202	0.82516	1.142
PLEKHG5	2.9602	2.8257	2.6375	2.0649	1.7819	2.827	1.9099	4.1205	2.1176	3.6919	2.9945	2.8349	2.8853	0	2.103	2.4856	3.3099	3.782	2.435	2.7465	2.764
NOL9	4.0232	4.0583	4.5006	3.9266	4.1578	3.5004	4.0635	3.1488	3.478	2.8795	3.7907	3.654	3.7061	3.3597	3.8708	3.6262	3.8379	3.9402	3.8562	3.8662	3.8108
ZBTB48	4.2965	4.7602	4.5927	4.5109	4.3737	4.639	4.4748	4.8015	4.2802	5.2313	4.7176	4.468	4.699	5.2502	4.1993	4.2552	4.6103	3.9402	4.7087	4.2984	4.102
ENSMMUG00000042613	1.4306	3.1424	3.3152	3.7276	2.3192	3.2026	3.486	2.787	3.6008	3.6003	3.1811	3.3982	3.536	2.4938	3.3595	3.2612	3.4561	3.0313	2.1278	3.0451	2.8631
PHF13	0	0	0	0.57519	0.28889	0.95448	0.63373	1.2088	0.57992	0	1.3029	0	0.66065	0	0.9854	0.82112	1.1434	1.3755	0.83011	1.6603	1.142
THAP3	2.1346	0	1.3174	0.98531	1.4717	1.637	1.5512	1.2088	0.69462	1.3728	1.5029	1.2408	0.90396	2.4938	1.2781	1.3412	1.2389	1.762	0.83011	1.4318	1.4274
DNAJC11	4.2965	3.9809	3.7744	4.0807	4.103	4.0005	3.7453	4.732	4.2145	4.5881	4.6768	4.2783	4.6414	4.5947	4.1852	4.5095	4.2119	4.4415	4.2786	4.3862	4.0185
ENSMMUG00000043877	3.6858	2.4195	3.6935	3.8551	3.6724	3.3089	3.6847	3.038	3.7673	2.8795	3.4946	3.8711	3.8292	4.5947	3.8882	4.0299	3.3099	3.5064	3.3693	4.0655	4.1999
VAMP3	7.2308	5.6102	6.3235	6.9103	7.1086	6.0278	7.0653	5.7754	6.3491	4.9265	6.6913	5.9464	6.5287	6.7489	6.7185	7.2205	5.9833	7.1264	5.5513	6.854	5.9835
PER3	4.6286	6.0498	5.3935	5.1904	4.5203	5.8339	5.1487	4.5821	3.4125	4.2692	4.0993	3.9996	3.6572	3.3597	4.0828	4.8987	5.0527	3.6959	4.6943	4.3429	4.6096
ENSMMUG00000038181	8.7424	6.529	7.8873	8.381	8.7452	7.3837	8.1355	6.4737	8.1263	6.5668	8.1263	8.0187	8.2328	8.1239	7.9896	7.8615	6.5113	8.023	6.4006	7.8612	7.6994
ERRFI1	5.2593	5.2303	4.7609	5.518	5.2319	5.3772	5.3572	6.5463	6.8993	6.811	6.9825	6.9665	6.7355	5.8225	6.6739	7.421	7.1498	6.4314	7.3628	7.476	7.0712
RERE	6.0319	7.0002	6.5356	6.51	6.6453	6.8508	6.5494	6.3859	5.75	6.53	5.7502	5.5444	5.8881	5.936	6.1501	6.5226	6.8025	6.1036	6.7902	6.2066	6.2674
H6PD	0	2.6369	0.80414	0.79477	1.2204	0.95448	1.4086	1.2088	0.99243	1.3728	1.0707	1.8978	0.52165	0	0.77621	0.38594	1.4127	1.3755	0.60269	1.2565	0.78585
SPSB1	1.4306	1.4541	0.80414	2.4353	2.0369	2.1754	2.2813	1.5692	2.4794	2.0634	3.4946	2.69	2.4212	2.4938	2.3244	2.5246	1.8954	1.3755	2.211	2.7129	2.1307
SLC25A33	0	2.4195	1.6952	2.8326	1.872	1.8396	3.4131	3.5226	4.974	4.0788	4.4774	4.7497	4.8877	4.2876	4.1993	2.8955	1.9529	3.5064	3.1339	3.7217	3.4773
PIK3CD	3.8644	2.9927	2.242	2.8326	2.8932	3.9134	1.4086	2.643	1.3829	2.7146	2.2229	1.6064	1.7943	3.3597	1.3804	3.1658	3.1955	2.5319	1.6202	2.2806	2.1307
CTNNBIP1	6.3643	4.1317	5.2311	5.6853	5.8069	5.08	5.6305	3.5226	5.2426	4.0788	5.1639	4.9217	5.2489	5.4159	5.7115	5.7849	5.2489	6.0351	4.5739	5.7283	5.3599
LZIC	6.8405	4.8928	5.2311	6.0637	6.0579	5.3191	6.1508	3.8192	5.4364	3.6919	5.2498	5.1877	5.1755	5.5646	5.7995	5.74	5.0395	5.8481	4.8581	5.7656	5.4099
NMNAT1	0	2.6369	2.8009	3.3309	2.9356	2.9634	2.8764	3.5226	3.2153	3.6003	3.3975	3.654	3.4428	2.4938	3.1293	2.9249	2.8473	2.8832	3.3326	2.9035	2.6577
RBP7	2.1346	1.4541	3.0808	3.5276	3.5412	1.4012	2.8764	0.7275	0	0.8439	0.45083	0	0.78743	0	1.6902	1.654	1.2389	0.84579	0	1.5121	1.5514
UBE4B	4.6286	5.1965	4.7207	4.8784	4.7277	4.9105	4.3632	4.2254	4.115	3.9362	4.4043	3.5736	4.3235	4.2876	4.1128	4.7504	4.5371	4.1491	4.2592	4.3539	4.0608
ENSMMUG00000040221	2.1346	3.8991	3.0808	3.5579	3.5951	3.8445	3.2965	3.2517	2.1581	3.0275	3.1216	2.1402	2.5697	0	2.1326	3.4349	3.4953	3.5064	2.745	2.9619	2.4181
ENSMMUG00000030440	2.1346	4.5077	4.2966	3.465	3.7927	4.1221	3.6847	4.9919	3.2153	4.7672	3.8284	4.2267	3.6405	0	3.3844	3.679	4.8022	3.4015	4.8581	3.8196	4.3946
PGD	4.8984	4.6644	4.9814	5.5635	5.4525	4.7053	5.487	4.8015	5.6398	5	6.0588	5.2664	5.8846	6.2312	5.5535	5.6809	4.7301	5.4611	4.9087	5.6193	4.7456
CORT	2.1346	2.1635	3.0808	3.4966	3.2364	2.5083	3.1247	2.3029	1.7442	0.8439	2.2229	2.3476	2.6386	3.897	2.5606	2.5246	1.6396	2.8832	2.0396	2.8735	2.4818
DFFA	2.1346	1.852	1.9944	2.2984	2.3192	2.2484	2.7039	2.0972	2.602	2.3145	2.332	1.2408	1.9103	3.897	2.0727	2.3182	2.0081	2.5319	1.8451	1.9755	1.8699
PEX14	5.1256	4.2016	4.9116	4.6581	4.8875	4.5836	4.4014	3.8847	3.9047	3.8593	4.6974	4.3281	4.4245	4.2876	4.2132	4.8304	4.7546	5.0741	4.3898	4.5472	4.5213
ENSMMUG00000019981	1.4306	2.4195	1.6952	1.1536	0.7356	1.2671	0.35139	0.7275	0.80087	0.8439	1.0707	0	0.66065	0	0.9854	0.54603	1.1434	0	1.4931	0.38813	0.56826
TARDBP	4.0232	5.5843	5.048	4.4475	4.575	4.9548	4.5447	4.0074	4.1456	4.8491	4.0036	3.8023	3.9425	4.2876	4.3581	4.3008	4.9222	3.9402	5.0509	3.9974	4.0608
SRM	2.6056	1.4541	2.8009	3.2215	2.9768	1.8396	2.6415	3.038	4.7667	3.0275	4.3273	5.2406	4.6414	4.8478	4.3768	2.7714	2.0613	3.6959	2.745	3.8038	4.102
EXOSC10	5.194	5.0526	4.4523	4.5864	4.8657	4.9217	4.4748	5.2121	4.7469	3.5025	5.1785	4.2267	5.0033	5.2502	4.5946	4.7422	5.0195	4.6391	5.0396	4.7429	4.4594
MTOR	4.4159	4.0583	3.9237	3.754	4.1756	4.5261	3.965	4.5821	3.7408	4.5396	4.1598	3.8711	4.1921	0	3.7229	4.0568	4.2582	3.9402	4.1994	3.9974	3.6537
UBIAD1	0	0	1.3174	0.98531	0.28889	0.30389	0	1.2088	0.57992	0.8439	0.45083	1.6064	0.78743	0	1.0489	0.9412	0.93114	0	0.33259	0.20708	0.78585
FBXO2	0	0.90301	0	0.31607	0	0.30389	0.35139	0.7275	0.57992	0	1.0707	0.74987	1.1121	0	1.0489	1.3412	0.20305	0	0	1.0569	0.97488
FBXO44	1.4306	0.90301	2.4533	1.1536	2.0369	1.4012	2.0121	1.8572	1.7442	1.3728	2.9945	2.1402	2.4597	0	2.0727	3.2143	2.1127	3.0313	1.1994	2.8114	2.2815
FBXO6	1.4306	1.852	0.80414	1.7863	2.3819	0.95448	1.9099	1.2088	2.511	2.0634	1.835	0.74987	2.4597	3.3597	2.5386	3.0899	1.3284	1.762	1.0265	2.5702	2.4181
MAD2L2	2.1346	1.4541	1.9944	2.147	2.0369	1.9312	1.8	2.3029	1.69	1.3728	2.4335	1.6064	2.0685	2.4938	2.3994	2.4856	1.6396	2.5319	1.6202	2.5702	2.2815
AGTRAP	5.7881	4.8058	5.1726	5.6221	6.0627	4.8055	5.5221	4.5008	5.8585	4.8087	6.098	5.6263	5.9706	6.3175	5.9019	6.2243	4.9436	5.6099	4.1156	6.2156	5.6645
MTHFR	3.2445	3.516	3.6935	2.8813	2.185	2.7284	3.3364	3.9474	3.6584	3.8593	3.8652	3.0871	3.7379	2.4938	3.5025	3.3934	3.5522	4.1491	3.5716	3.4837	3.3119
CLCN6	3.482	3.6217	3.3152	2.5604	2.3819	3.6694	2.8764	4.3697	3.1959	4.3275	4.0362	4.1176	3.5892	3.897	3.2422	3.6082	4.0891	3.1655	3.9317	3.2463	3.5682
KIAA2013	2.6056	2.1635	3.3152	3.3656	3.6973	3.3089	3.3364	2.643	2.9176	2.8795	3.7907	2.5289	3.3838	2.4938	3.2148	3.7299	3.4561	3.6043	3.2564	3.6526	3.3119
PLOD1	4.1663	3.7202	3.6078	3.9496	3.7927	4.0005	3.3364	3.2517	4.2802	4.635	4.6974	3.8023	4.3442	3.897	4.2875	4.22	4.4599	4.7713	4.2978	4.2406	3.8834
MFN2	1.4306	2.4195	1.6952	1.9779	2.6601	2.6225	1.8	2.0972	1.4498	2.3145	1.9762	1.8978	1.4554	2.4938	1.7295	1.9109	2.345	2.8832	2.5671	1.6603	1.5514
MIIP	2.9602	3.8124	3.2028	2.9742	2.6601	3.772	2.9809	3.1488	2.941	3.6003	3.4468	3.1984	3.0206	3.897	3.3595	3.6262	3.9409	4.3316	3.295	3.3591	3.3804
TNFRSF1B	2.1346	0.90301	1.9944	1.1536	0.91593	0.95448	1.4086	3.2517	3.4125	4.1451	3.5408	3.4886	3.4037	0	2.3498	2.3182	1.8356	3.1655	2.435	2.6073	2.4818
VPS13D	4.1663	4.3319	4.2408	3.7276	3.4269	4.2871	3.0304	4.8998	2.8449	3.6919	3.2934	3.1984	3.4994	0	3.0226	3.9173	4.81	3.1655	4.5096	3.1492	3.1643
DHRS3	7.2144	6.2933	6.5122	7.1381	7.2912	6.7027	6.5995	8.3057	8.1907	7.8698	9.1228	8.1387	8.6806	8.171	7.7462	8.8674	8.3424	8.174	7.3921	8.5625	7.9677
PDPN	6.3643	3.8124	3.9237	6.8746	7.5366	6.7092	4.3824	5.3576	3.9283	2.8795	6.121	4.1176	5.4152	4.5947	3.4088	6.3516	5.1784	5.3527	3.0001	5.0489	3.4134
PRDM2	5.3817	5.8247	5.2021	5.5025	5.6179	5.6235	5.5478	5.5313	5.2752	5.8238	5.7001	4.9852	5.5819	5.2502	5.3637	5.646	5.8461	5.487	5.4943	5.2319	5.0488
KAZN	3.8644	2.4195	3.4195	2.7298	3.9037	3.3089	3.0783	3.4378	2.3454	2.7146	2.4335	2.5289	2.6045	0	3.2148	2.8347	3.0185	3.1655	3.1339	3.0981	2.8631
TMEM51	2.9602	1.4541	0	0.79477	0.7356	1.1193	0.86976	1.8572	2.1976	1.3728	2.2229	1.8978	2.4597	2.4938	1.7677	1.2511	1.1434	0.84579	1.8451	1.2565	2.0489
CASP9	4.5262	4.2682	4.5006	4.4953	4.2447	4.6525	4.4748	4.659	4.6293	4.7672	4.501	4.1732	4.463	3.3597	4.6722	4.6394	4.3466	4.5437	4.2592	4.7345	4.3441
DNAJC16	2.9602	3.1424	3.6078	2.9285	3.5412	2.827	3.3364	3.6027	3.1564	3.8593	3.3464	2.5289	3.3012	3.3597	3.347	3.5715	3.4953	1.3755	3.5073	3.315	2.764
ENSMMUG00000019912	3.8644	3.1424	2.8009	2.6755	2.6086	3.1654	2.8764	2.4829	2.236	2.5284	2.1048	2.8349	1.7943	0	2.3498	2.1289	2.9066	2.8832	2.2896	1.8575	2.9101
PLEKHM2	5.3218	5.2634	5.2311	5.0482	4.8982	5.0188	4.995	5.8263	4.7602	5.1689	5.5158	5.1043	5.2378	5.2502	4.7459	5.0059	5.0262	4.9679	5.1171	5.0557	4.7194
SLC25A34	2.9602	0.90301	0.80414	1.7863	0.91593	0.30389	0.63373	0.7275	0.57992	0	0	0.74987	0.52165	0	0.61774	0.9412	0.93114	1.3755	0.33259	0.54897	0.31193
FBLIM1	5.0538	3.7202	3.3152	4.6155	5.0313	4.6792	3.7453	3.6027	2.3454	3.3976	3.3464	2.5289	2.941	3.3597	2.8372	3.7791	3.8829	4.8532	2.8525	3.5035	2.8631
SPEN	6.3937	6.9401	6.2826	6.4786	6.5323	7.0036	6.1508	7.6929	6.3752	7.1467	6.9095	6.3833	6.8121	5.6993	6.0928	6.2651	6.897	5.4611	6.8203	6.3056	5.9725
ZBTB17	3.482	2.9927	3.0808	3.8305	4.0653	3.7966	3.7153	3.9474	3.9516	4.4374	4.5916	3.9368	4.2148	3.3597	3.569	3.7629	3.9122	4.1491	3.474	3.523	3.0428
EPHA2	3.482	4.5619	3.7744	4.4475	3.1308	2.9194	4.6593	6.8135	6.8584	7.0634	7.2317	6.8519	7.1961	5.063	6.3942	5.6938	5.4063	4.1491	6.0741	6.2066	6.0638
ARHGEF19	0	1.4541	0	0.98531	0.28889	0.76842	1.0726	0.7275	0	0.8439	0.45083	0.74987	0.66065	0	0.53146	0.82112	0.68214	1.3755	1.3537	0.82516	0.31193
FBXO42	1.4306	3.4018	2.4533	2.6191	2.7579	2.9634	2.9809	3.2517	2.2734	2.8795	2.701	2.69	2.7043	0	2.6452	2.7714	2.9066	3.0313	3.1339	2.7129	2.6577
C1orf144	6.0688	5.2303	5.6293	5.6505	5.7185	5.2761	5.5393	5.3344	5.713	5.1689	6.0824	4.821	5.9022	5.6993	5.6488	5.8205	5.4267	5.9632	5.3273	5.7533	5.5126
NECAP2	3.6858	1.4541	2.9477	2.8326	2.8932	2.6764	2.8764	1.8572	2.38	2.5284	3.1811	0	2.4597	2.4938	3.0067	2.5246	2.7854	3.6043	2.2896	2.3694	1.8699
ENSMMUG00000044637	0	0.90301	1.9944	1.5653	1.0762	1.637	1.4086	0	1.3829	1.3728	1.6785	0	0.36782	2.4938	1.1681	1.2511	1.5679	1.762	1.4931	0.82516	1.4274
CROCC	3.6858	1.852	2.8009	2.9742	2.5552	3.3089	2.3609	2.643	2.0329	2.0634	1.5029	2.1402	1.7326	0	1.6082	2.0774	2.8166	3.5064	2.7998	1.8575	1.9621
MFAP2	4.814	4.8928	4.4523	4.4148	4.7868	4.4195	4.304	3.2517	2.964	3.2845	3.7519	2.3476	3.236	2.4938	3.6011	4.3773	4.2001	4.1491	3.474	3.8662	3.7603
